Dimension,Group1,Group2,TPR1,TPR2,ΔTPR,FPR1,FPR2,ΔFPR,EOD
gender,M,F,0.614,0.65,-0.036,0.242,0.207,0.035,0.036
age,18-59,60+,0.644,0.629,0.015,0.119,0.272,-0.152,0.152
ethnicity,white,black,0.598,0.648,-0.05,0.221,0.175,0.046,0.05
ethnicity,white,other,0.598,0.667,-0.069,0.221,0.257,-0.036,0.069
ethnicity,white,asian,0.598,0.671,-0.072,0.221,0.217,0.004,0.072
