Dimension,Group1,Group2,TPR1,TPR2,ΔTPR,FPR1,FPR2,ΔFPR,EOD
gender,M,F,0.686,0.726,-0.04,0.336,0.267,0.07,0.07
age,18-59,60+,0.73,0.699,0.031,0.191,0.355,-0.164,0.164
ethnicity,white,black,0.662,0.731,-0.069,0.309,0.235,0.074,0.074
ethnicity,white,other,0.662,0.75,-0.088,0.309,0.332,-0.023,0.088
ethnicity,white,asian,0.662,0.768,-0.106,0.309,0.278,0.031,0.106
