Dimension,Group1,Group2,TPR1,TPR2,ΔTPR,FPR1,FPR2,ΔFPR,EOD
gender,M,F,0.861,0.843,0.017,0.259,0.256,0.003,0.017
age,18-59,60+,0.817,0.861,-0.044,0.17,0.296,-0.126,0.126
ethnicity,white,black,0.839,0.836,0.003,0.253,0.248,0.005,0.005
ethnicity,white,other,0.839,0.873,-0.035,0.253,0.275,-0.022,0.035
ethnicity,white,asian,0.839,0.878,-0.039,0.253,0.222,0.031,0.039
