维度,基准组,比较组,Top3_加权Jaccard,All_加权Jaccard,JS_Divergence,Pearson,Cosine
age_group,18-59,60+,0.886,0.791,0.016,0.978,0.981
ethnicity,white,black,0.957,0.949,0.002,0.998,0.999
ethnicity,white,asian,0.965,0.883,0.009,0.995,0.996
ethnicity,white,other,0.949,0.945,0.001,0.998,0.998
gender,M,F,0.965,0.91,0.004,0.996,0.997
