维度,基准组,比较组,Top3_加权Jaccard,All_加权Jaccard,JS_Divergence,Pearson,Cosine
age_group,18-59,60+,0.904,0.855,0.007,0.991,0.994
ethnicity,white,black,0.954,0.935,0.002,0.998,0.999
ethnicity,white,asian,0.949,0.931,0.002,0.997,0.998
ethnicity,white,other,0.981,0.959,0.001,0.999,0.999
gender,M,F,0.955,0.928,0.002,0.998,0.998
