维度,基准组,比较组,Top3_加权Jaccard,All_加权Jaccard,JS_Divergence,Pearson,Cosine
age_group,18-59,60+,0.872,0.809,0.015,0.97,0.977
ethnicity,white,black,0.97,0.935,0.002,0.997,0.998
ethnicity,white,asian,0.945,0.923,0.002,0.996,0.997
ethnicity,white,other,0.974,0.953,0.001,0.999,0.999
gender,M,F,0.929,0.897,0.003,0.994,0.996
